1,"""Off there to the right—somewhere—is a large island,"" said Whitney."""
0,"It's rather a mystery—""

""What island is it?"""
0,Rainsford asked.
0,"""The old charts call it 'Ship-Trap Island,'"" Whitney replied."""
0,"A suggestive name, isn't it?"
0,Sailors have a curious dread of the place.
0,I don't know why.
0,"Some superstition—""

""Can't see it,"" remarked Rainsford, trying to peer through the dank tropical night that was palpable as it pressed its thick warm blackness in upon the yacht."
1,"""You've good eyes,"" said Whitney, with a laugh,"" and I've seen you pick off a moose moving in the brown fall bush at four hundred yards, but even you can't see four miles or so through a moonless Caribbean night."""
0,"""Nor four yards,"" admitted Rainsford."
0,"""Ugh!"
0,"It's like moist black velvet."""
1,"""It will be light enough in Rio,"" promised Whitney."
0,"""We should make it in a few days."
0,I hope the jaguar guns have come from Purdey's.
0,We should have some good hunting up the Amazon.
0,"Great sport, hunting."""
0,"""The best sport in the world,"" agreed Rainsford."
0,"""For the hunter,"" amended Whitney."
0,"""Not for the jaguar."""
0,"""Don't talk rot, Whitney,"" said Rainsford."
0,"""You're a big-game hunter, not a philosopher."
0,"Who cares how a jaguar feels?"""
0,"""Perhaps the jaguar does,"" observed Whitney."
0,"""Bah!"
0,"They've no understanding."""
1,"""Even so, I rather think they understand one thing—fear."
0,"The fear of pain and the fear of death."""
0,"""Nonsense,"" laughed Rainsford."
0,"""This hot weather is making you soft, Whitney."
0,Be a realist.
0,The world is made up of two classes—the hunters and the huntees.
0,"Luckily, you and I are hunters."
1,"Do you think we've passed that island yet?"""
0,"""I can't tell in the dark."
0,"I hope so."""
0,"""Why? """
0,asked Rainsford.
0,"""The place has a reputation—a bad one."""
0,"""Cannibals?"""
0,suggested Rainsford.
0,"""Hardly."
0,Even cannibals wouldn't live in such a God-forsaken place.
0,"But it's gotten into sailor lore, somehow."
0,"Didn't you notice that the crew's nerves seemed a bit jumpy today?"""
1,"""They were a bit strange, now you mention it."
0,"Even Captain Nielsen—""

""Yes, even that tough-minded old Swede, who'd go up to the devil himself and ask him for a light."
0,Those fishy blue eyes held a look I never saw there before.
0,"All I could get out of him was 'This place has an evil name among seafaring men, sir.'"
0,"Then he said to me, very gravely, 'Don't you feel anything?"
0,—as if the air about us was actually poisonous.
0,"Now, you mustn't laugh when I tell you this—I did feel something like a sudden chill."
0,"""There was no breeze."
0,The sea was as flat as a plate-glass window.
0,We were drawing near the island then.
0,"What I felt was a—a mental chill; a sort of sudden dread."""
0,"""Pure imagination,"" said Rainsford."
0,"""One superstitious sailor can taint the whole ship's company with his fear."""
0,"""Maybe."
